Mes,Ano,lat,lon,Codigo,regiao,uf,Umidade média mensal,Temperatura média mensal
10,2022,-12.59222221000001,-49.52861110000003,A054,N,TO,76.8,27.231666666666666
11,2022,-12.59222220999987,-49.52861109999941,A054,N,TO,79.6737160120846,26.070543806646505
12,2022,-12.592222209999868,-49.5286110999995,A054,N,TO,85.41959064327486,25.309356725146223
1,2022,-21.10650200000018,-44.25092800000056,A514,SE,MG,79.79032258064517,21.99260752688174
2,2022,-21.10650200000014,-44.250928000000485,A514,SE,MG,82.88839285714286,21.58482142857141
3,2022,-21.10650200000018,-44.25092800000056,A514,SE,MG,70.01344086021506,22.81276881720431
4,2022,-21.10650200000017,-44.250928000000535,A514,SE,MG,76.41666666666667,20.595277777777778
5,2022,-21.10650200000018,-44.25092800000056,A514,SE,MG,74.45967741935483,16.323521505376366
6,2022,-21.10650200000017,-44.250928000000535,A514,SE,MG,75.69722222222222,15.783750000000017
7,2022,-21.10650200000018,-44.25092800000056,A514,SE,MG,69.88440860215054,16.31021505376343
8,2022,-21.10650200000018,-44.25092800000056,A514,SE,MG,66.7997311827957,17.080913978494614
9,2022,-21.10650200000017,-44.250928000000535,A514,SE,MG,67.91805555555555,18.91555555555556
10,2022,-21.10650200000018,-44.250928000000556,A514,SE,MG,72.55810810810812,21.18229729729727
11,2022,-21.10650200000017,-44.250928000000535,A514,SE,MG,75.78888888888889,19.53874999999998
12,2022,-21.10650200000018,-44.25092800000056,A514,SE,MG,82.91129032258064,20.420026881720414
1,2022,-16.26055554999995,-47.96694443000078,A012,CO,GO,73.02822580645162,22.653360215053777
2,2022,-16.26055555,-47.966944430000694,A012,CO,GO,76.8764880952381,22.35625000000001
3,2022,-16.26055554999995,-47.96694443000078,A012,CO,GO,65.99731182795699,23.54583333333334
4,2022,-16.260555549999967,-47.96694443000076,A012,CO,GO,61.09444444444444,23.45180555555553
5,2022,-16.26055554999995,-47.96694443000078,A012,CO,GO,58.034946236559136,20.531317204301093
6,2022,-16.260555549999967,-47.96694443000076,A012,CO,GO,53.55694444444445,20.54263888888888
7,2022,-16.26055554999995,-47.96694443000078,A012,CO,GO,47.25806451612903,20.45241935483871
8,2022,-16.26055554999995,-47.96694443000078,A012,CO,GO,38.9744623655914,22.359005376344093
9,2022,-16.260555549999967,-47.96694443000076,A012,CO,GO,45.022222222222226,24.315555555555573
10,2022,-16.26055554999995,-47.96694443000078,A012,CO,GO,50.310483870967744,24.66908602150539
11,2022,-16.260555549999967,-47.96694443000076,A012,CO,GO,72.01805555555555,21.855972222222213
12,2022,-16.26055554999995,-47.96694443000078,A012,CO,GO,78.29838709677419,21.895967741935475
1,2022,-29.70916666000005,-55.52555553999992,A826,S,RS,58.72162162162162,27.64527027027027
2,2022,-29.709166660000157,-55.52555553999993,A826,S,RS,57.28955223880597,25.79582089552239
3,2022,-29.70916666000005,-55.52555553999992,A826,S,RS,74.39918809201623,21.62435723951284
4,2022,-29.70916666000008,-55.52555553999992,A826,S,RS,78.3861111111111,18.738333333333344
5,2022,-29.709166660000044,-55.52555553999992,A826,S,RS,82.96774193548387,14.149596774193554
6,2022,-29.709166659999962,-55.525555539999935,A826,S,RS,80.19310344827586,11.547586206896552
8,2022,-29.709166660000314,-55.52555553999992,A826,S,RS,74.30172413793103,14.714870689655172
9,2022,-29.70916666000008,-55.52555553999992,A826,S,RS,73.95694444444445,15.219305555555565
10,2022,-29.709166660000044,-55.52555553999992,A826,S,RS,69.49193548387096,18.43696236559143
11,2022,-29.709166660000097,-55.52555553999992,A826,S,RS,59.244350282485875,22.019350282485878
12,2022,-29.70916666000007,-55.52555553999992,A826,S,RS,57.27272727272727,25.707300275482083
1,2022,-19.605833330000262,-46.949722210000125,A505,SE,MG,76.3010752688172,22.147849462365624
2,2022,-19.605833330000216,-46.9497222099999,A505,SE,MG,78.02232142857143,21.765029761904742
3,2022,-19.605833330000262,-46.949722210000125,A505,SE,MG,63.84274193548387,23.55604838709675
4,2022,-19.605833330000248,-46.94972221000001,A505,SE,MG,63.7625,22.72055555555557
5,2022,-19.60583333000024,-46.94972220999994,A505,SE,MG,60.04397163120567,19.488226950354623
6,2022,-19.605833330000245,-46.94972220999998,A505,SE,MG,57.102240896358545,19.372268907563015
7,2022,-19.605833330000262,-46.949722210000125,A505,SE,MG,50.21639784946237,19.870698924731176
8,2022,-19.605833330000255,-46.949722210000076,A505,SE,MG,46.08049113233288,20.87107776261938
